Date,Coord-System,Altitude,Latitude,Longitude,D_deg,D_min,I_deg,I_min,H_nT,X_nT,Y_nT,Z_nT,F_nT,dD_min,dI_min,dH_nT,dX_nT,dY_nT,dZ_nT,dF_nT
2017,D,K600,59.5959171207184,-154.074289274242,13d,53m,72d,43m,12400.2,12037.9,2975.5,39850.8,41735.5,-15.6,0.5,-11.5,2.2,-57.4,-16.7,-19.4
2017,D,K600,56.0135440302237,-156.149223600546,12d,50m,69d,47m,13975.6,13626.2,3105.7,37944.3,40436.2,-13.4,0.6,-12.8,-0.5,-55.9,-14,-17.5
2017,D,K600,52.4066482720643,-157.913999882114,11d,58m,66d,47m,15356.3,15022.4,3184.7,35806.9,38960.8,-11.6,0.7,-13.6,-2.7,-53.3,-11.4,-15.9
2017,D,K600,48.7810192659833,-159.449801554718,11d,15m,63d,45m,16531,16213.5,3224.5,33512.3,37367.7,-10,0.8,-14,-4.5,-49.8,-9.2,-14.4
2017,D,K600,45.1406150638225,-160.812561682611,10d,39m,60d,38m,17512.7,17210.7,3237.9,31130.4,35718.3,-8.6,0.9,-14.4,-6.2,-45.6,-7,-13.2
2017,D,K600,41.4882524096033,-162.042042269364,10d,10m,57d,27m,18332.8,18044.7,3237.6,28716.8,34069.7,-7.3,1,-14.8,-7.7,-40.8,-4.9,-12.1
2017,D,K600,37.8260163570598,-163.16730484811,9d,47m,54d,7m,19034,18757,3235.3,26307,32470.8,-6.1,1.1,-15.1,-9.2,-35.6,-2.8,-11.1
2017,D,K600,34.1555129914661,-164.210128367422,9d,29m,50d,34m,19661.7,19392.8,3240.6,23915,30959.8,-4.9,1.3,-15.3,-10.5,-30.1,-0.4,-10.1
2017,D,K600,30.478030409656,-165.187215192569,9d,16m,46d,45m,20258,19993.9,3260.6,21534.7,29565.7,-3.8,1.5,-15.4,-11.6,-24.7,2,-9.1
2017,D,K600,26.7946439364633,-166.111657486681,9d,6m,42d,33m,20856.5,20593.7,3300.2,19143.6,28310.2,-2.8,1.6,-15.2,-12.3,-19.3,4.5,-8.1
2017,D,K600,23.1062861791635,-166.993938777064,9d,0m,37d,53m,21478.7,21214,3361.9,16707.5,27211.7,-1.9,1.8,-14.6,-12.6,-14.2,6.9,-7.3
2017,D,K600,19.413794270358,-167.84263586576,8d,58m,32d,40m,22132,21861.9,3446.9,14185.9,26288.1,-1.2,2,-13.8,-12.5,-9.6,9,-6.7
2017,D,K600,15.7179418970639,-168.664923421634,8d,58m,26d,50m,22808.3,22529.6,3555.1,11537.7,25560.5,-0.5,2.1,-12.8,-12.1,-5.3,10.8,-6.5
2017,D,K600,12.0194610021324,-169.466946514699,9d,2m,20d,23m,23485.1,23194.1,3685.9,8727.9,25054.5,0,2.1,-11.7,-11.6,-1.6,12.2,-6.7
2017,D,K600,8.31905642228015,-170.254103856834,9d,9m,13d,22m,24127.4,23820.1,3838.3,5733.4,24799.2,0.5,2.1,-10.6,-11,1.5,13.2,-7.3
2017,D,K600,4.61741571869544,-171.031270784339,9d,21m,5d,53m,24692.3,24364.4,4010.9,2547.5,24823.4,0.8,2,-9.7,-10.5,4.2,13.8,-8.3
2017,D,K600,0.915215819179661,-171.802982321192,9d,37m,-1d,52m,25134.9,24781.3,4201.5,-817.8,25148.2,1.1,1.9,-9.1,-10.3,6.3,14.2,-9.5
